DocNumber,Reference,Cited
7201580,"Success Maker Courseware brochure, published by Computer Curriculum Corporation Dec. 1994. ",cited by other .
7201580,"Active Mind Series from World Wide Web, URL=http://www.broderbund.com/studio/ams.html 1996. ",cited by other .
7201580,"Logical Journal of the Zoombinis from World Wide Web, URL:=http://www.broderbund.com/studio/atoz/zoombini.html 1996. ",cited by other .
7201580,"Selecting Software by PC Novice Series, vol. 3, Issue 12, pp. 51, 64, and 89-92. 1995. ",cited by other .
7201580,"Computerized Adaptive Testing, Oct. 24, 1994, from World Wide Web, URL=Gopher://Gopher.ETS.org. ",cited by other .
7201580,"Innovation and Technologies, Oct. 21, 1994, from World Wide Web, URL=Gopher://Gopher.ETS.org. ",cited by other .
7201580,"Interactive Mathematic Instructor's Guide by Academic Systems, pp. 86 and 114. Aug. 1995. ",cited by other .
7201580,"High School Learning and Resource Library by ProOne, photocopy of the box and screen-dump to get 5 pages 1995. ",cited by other .
7201580,Asymetrix Librarian from www.asymetrix.com/products/librarian 1998. ,cited by other .
7201580,PeopleSoft Human Resources Management Solution 1998. ,cited by other .
7201580,CareerMosaic URL=http://www.careermosaic.com 1998. ,cited by other .
7201580,Career.com www.career.com 1994-1999. ,cited by other .
7201580,CareerPath.com www.careerpath.com 1997-1999. ,cited by other .
7201580,America's Learning Exchange www.alx.org 1998. ,cited by other .
7201580,Telecommunications Industry by Nova 1996. ,cited by other .
7201580,FreeLearning.com www.freelearning.com 1999. ,cited by other .
7201580,Youth@work by Nova Private Industry Council www.youthatwork.com 1997. ,cited by other .
7201580,"Computer based training-A report of a NATO study visit to America. A.P. Report 91 by Patrick, pp. 1-29 Jan. 1980. ",cited by other .
7201580,"Improving the Selection, classification, and utilization of army enlisted personnel: Annual Report synopsis, 1984 Fiscal Year, Human Resources Organization, Alexandria, Va., pp. v, viixx, and 1-40 Jul. 1985. ",cited by other .
7201580,"Mendel: An Intelligent Computer Tutoring System For Genetics Problem-Solving, Conjecturing, and Understanding, by Streibel et al. Machine-Medicated Learning, vol. 2, No. 1 & 2, pp. 129-159 1987. ",cited by other .
7201580,"Getting Serious about SAT software, By Harvey et al., National Council of Teachers of Mathematics, pp. 440-454. Sep. 1987. ",cited by other .
7201580,"Control for Intelligent Tutoring Systems: A Comparison of Blackboard Architectures and Discourse Management Networks, by W. Murray. Machine-Mediated Learning, vol. 3, No. 1, pp. 107-124 1989. ",cited by other .
7201580,"Taking a standardized test? Here's some help. By M. Bunescu, 62 Electronic Learning, pp. 62-64 Sep. 1989. ",cited by other .
7201580,"ECAL: Bridging the gap between CAL and Intelligent tutoring systems. By Elsom-Cook et al. Computers & Education, vol. 15, No. 1-3, pp. 69-81 1990. ",cited by other .
7201580,"A blackboard-based dynamic instructional planner, By W. Murray. Artificial Intelligence Center, FMC Corp., ONR-6376, pp. 1-59, 72-83, 97-103, with 9 introductory pages Feb. 1990. ",cited by other .
7201580,Test-taking skills. School library journal pp. 61 May 1990. ,cited by other .
7201580,"An architecture and methodology for creating a domain-independent, plan-based intelligent tutoring system by J. Vassileva. Educational & Training Technology International, vol. 27, #4, pp. 386-397 Nov. 1990. ",cited by other .
7201580,"Software by Weiser et al., Media & methods, pp. 63-64 11-12/90. ",cited by other .
7201580,"Toward the design of an intelligent courseware production system using software engineering and instructional design principles. By Chen et al. Educational Technology Systems, pp. 41-52 Dec. 1990. ",cited by other .
7201580,"Advanced technology training program for the apparel industry. Final report. Office of vocational and adult education (ED), Washington, DC, pp. 1-9 1991. ",cited by other .
7201580,"An analysis of computer-assisted instruction on scholastic aptitude test performance of rural high school students. By Fine et al. Education, vol. 111, No. 3, pp. 400-403 Spring/91. ",cited by other .
7201580,"Building integrated skills--a model for action. BC Construction industry skills improvement council, 404-737 Carnarvon Street, New Westminister, British Columbia V3M 5X1, pp. 1-6 Aug. 1991. ",cited by other .
7201580,Computer software. By Herne et al. Journal of Reading 3517 pp. 604 Apr. 1992. ,cited by other .
7201580,"Designing a Tool Supporting the Development of ITS in Different Domains: The Docet Experience. By Bonarini et al., Interactive Learning Environments vol. 3, No. 2, pp. 131-149 1993. ",cited by other .
7201580,"Databases on vocational qualifications and courses accredited European centre for the development of vocational training, Berlin (Germany), pp. 1-11 Feb. 1993. ",cited by other .
7201580,"An approach to developing intelligent tutors in Mathematics By H. Nwana, Computers & Educations. vol. 20, No. 1, pp. 27-43 Mar. 1993. ",cited by other .
7201580,"CBT Wintracs, CBT Systems, Ltd., pp. 3-47 1994. ",cited by other .
7201580,"An historical perspective and a model for evaluation of intelligent tutoring systems. By Seidel et al. J. Educational Computing Research, vol. 10(2) pp. 103-128 1994. ",cited by other .
7201580,"A new direction for developmental education using technology. Annual convention of the American association of community colleges (74.sup.th, Washington, DC, Apr. 6-9, 1994) pp. 1-9 Apr. 1994. ",cited by other .
7201580,"Mathematics study skills: A must for students with LD. By P. Nolting. Intervention in school and clinic, vol. 30,#1, pp. 53-59 Sep. 1994. ",cited by other .
7201580,Keeping up with the SATs By R. Schneider. Technology and learning pp. 7-9 Sep. 1994. ,cited by other .
7201580,"Using computer technology to monitor student progress and remediate reading problems. By C. McCullough. School psychology review, vol. 24, No. 3, pp. 426-439 1995. ",cited by other .
7201580,"Software and Courseware The Technological Horizons in Education Journal vol. 22, No. 10, p. 41 May 1995. ",cited by other .
7201580,"Gearing up for the SAT. By R. Schneider. Technology Learning, pp. 9-11, Jan. 1996. ",cited by other .
7201580,"Basic Skills Program Helps Trainees Pass Vocational Tests The Technological Horizons in Education Journal vol. 23, No. 8, p. 66 Mar. 1996. ",cited by other .
7201580,"Foundations of Probability with applications, selected papers 1974-1975, pp. 149-188. By Suppes et al. Nov. 1996. ",cited by other .
7201580,"SAT preparation through technology. By Bean et al. Media & Methods, p. 73 Nov.-Dec. 1996. ",cited by other .
7201580,"Computers in school: A loser? Or a lost opportunity? By Shao et al. Business Week, No. 3115, p. 108 Jul. 17, 1989. ",cited by other .
7201580,"Is it a miracle""? Computer teaches piano"" Consumer reports, v. 56, No. 11, p. 718 Nov. 1991. ",cited by other .
7201580,"Kids love to learn with these PC games By Warner et al. Business week, No. 3265, p. 116 May 11, 1992. ",cited by other .
7201580,"Software that's fun and educational--that's edutainment"""" By C. Miller. American marketing association, Marketing News, p. 2 Apr. 26, 1993. ",cited by other .
7201580,"Test drive; comic relief helps navigate hallways of Inside the SAT"""" By E. Graner. St Louis Post-Dispatch, Everyday magazine, p. 1F Mar. 8, 1995. ",cited by other .
7201580,"SAT fundamentals By D. Oldenburgh. The Washington Post, p. D05, Final Edition Apr. 7, 1995. ",cited by other .
7201580,"SAT Software: Does it work? By R. Calem. The New York Times, Section C, p. 2, col. 1, Late Edition--Final. Apr. 27, 1995. ",cited by other .
7201580,"Software spells out the ABC's of SAT By R. Calem. The Tampa Tribune, Baylife, p. 1, Final edition May 3, 1995. ",cited by other .
7201580,"CD-Rom helps prepare for SAT By J. Gaw. The Plain Dealer, Next, p. 1E, Final May 8, 1995. ",cited by other .
7201580,"Kaplan preps for CD-ROM release HFN, vol. 69, No. 32, p. 67 Aug. 7, 1995. ",cited by other .
7201580,"Turning SATs into a kind of video game. By M. Putzel. The Boston Globe, Economy, p. 91, City Edition Sep. 15, 1995. ",cited by other .
7201580,"Training the workers who operate the trains. By Butt et al. American Society for Training & Development, Inc., Technical & Skills training, vol. 6, No. 7, pp. 14-19 Oct. 1995. ",cited by other .
7201580,"Computer tutors to help you ace the SAT. By Dunkin et al. Business Week, Personal business, education, No. 3444, p. 142 Oct. 2, 1995. ",cited by other .
7201580,"New CD-ROMs aimed at reducing SAT jitters By W. Hona. The Houston Chronicle section a, p. 6,2 Star Edition Oct. 8, 1995. ",cited by other .
7201580,"Test-preparation software scores big. By V. Marion. Los Angeles Times, Business section, part D, p. 7, financial desk, Orange County Edition Nov. 1, 1995. ",cited by other .
7201580,"Multiple choice: Virtual tutors ratedcoaching options range from staid help to high-tech glitz, Gannett Company, Inc. USA Today, Mar. 21, 1996, Final Edition, Life Section, p. 6D Mar. 21, 1996. ",cited by other .
7201580,"Computer-assisted instruction at Stanford, 1966-68 By Suppes et al, Academic Press, pp. v-ix and 1-533 1972. ",cited by other .
7201580,"Control Data Plato, System Overview by Control Data Corporation 1976. ",cited by other .
7201580,Control Data Plato CMI Author's Guide By Control Data Corporation 1978. ,cited by other .
7201580,"Control Data Plato, Author Language Reference Manual By Control Data Corporation Apr. 1978. ",cited by other .
7201580,CDC Philosophy By Control Data Corporation 1978. ,cited by other .
7201580,"A computerized model for placement and diagnostic testing in college remedial mathematics, A Florida Atlantic University Dissertation by Iraj Hirmapour, pp. i-vii and 1-163 Dec. 1980. ",cited by other .
7201580,Industry Education Computer Based Training Strategy By Arthur Andersen & Co. Feb. 1988. ,cited by other .
7201580,"Teacher's Handbook for Math Concepts and Skills Computer Curriculum Corporation By Agulnick et al., pp. 1-126 1991. ",cited by other .
7201580,"CBT Systems By The Training Resource, pp. i-xxiii and 1-51 1992. ",cited by other .
7201580,"CBT Systems By The Training Resource, pp. i-xxxiv and 1-101 1993. ",cited by other .
7201580,"SuccessMaker Reports Guide by Computer Curriculum Corporation, pp. i-v and 1-150 1993. ",cited by other .
7201580,"SuccessMaker Reports Quick Reference Guide By Computer Curriculum Corporation, pp. i-iii and 1-18 1993. ",cited by other .
7201580,"SuccessMaker Instructional Management by Computer Curriculum Corporation, pp. 1-94 1993. ",cited by other .
7201580,"SuccessMaker Math Concepts and Skills by Computer Curriculum Corporation, pp. i-iv and 1-167 1993. ",cited by other .
7201580,"User's Guide for Success Maker by Computer Curriculum Corporation, pp. 3-10 1993. ",cited by other .
7201580,"How to use the CBT Tracs System Administrator's Guide by CBT Systems Ltd, pp. 1-29. 1994. ",cited by other .
7201580,"CBT Wintracs by CBT Systems Ltd, pp. 1-47 1994. ",cited by other .
7201580,"Full Curriculum software personal selection help by EISI Software Institute, pp. 495, 500-503, 511, 517-527, 575-581, 583-585 Jan. 1994. ",cited by other .
7201580,"CBT Systems by The Training Resource, pp. 3-256 Spring 1995. ",cited by other .
7201580,"The development of a health careers database computer program, A University of Houston Dissertation By Ava Miller May 1995. ",cited by other .
7201580,"Knowledge Management Case Study, Knowledge Management at Microsoft, 1997 By Thomas Davenport 1996. ",cited by other .
7201580,"Wintracs by CBT Systems Ltd, pp. 65-97 Sep. 1997. ",cited by other .
7201580,"Teltech: The business of knowledge management case study By Thomas Davenport, pp. 1-9. www.bus.utexas.edu/kman/telcase.htm Apr. 1996. ",cited by other .
7201580,SkillView: Engineering a More Productive WorkForce by SkillView Technologies Before 2003. ,cited by other .
7201580,"Computer assisted diagnostic prescriptive program in reading and mathematics, by Robertson et al., US Dept of Education, Washington, DC Jan. 1986. ",cited by other .
7201580,"The new component design theory: instructional design for courseware authoring, by D. Merrill, Instructional Science 16: 19-34 1987. ",cited by other .
7201580,Teacher's Handbook for English as a Second Language by Computer Curriculum Corporation Feb. 1985. ,cited by other .
7201580,The CCC Instructional System Jul. 1990. ,cited by other .
7201580,"CCC Graphics Server, Preliminary Information for Proctors Jul. 17, 1987. ",cited by other .
7201580,"Important Information on Speech System Use for Release 12 Courses, by Barbara Tingey Mar. 22, 1988. ",cited by other .
7201580,"CCC Graphics Server, Product Description May 1987. ",cited by other .
7201580,Teacher's Handbook for Initial Reading by Computer Curriculum Corporation Jul. 1988. ,cited by other .
7201580,"Interoffice Memorandum, MAC Platform News, by D. Salvadori Mar. 19, 1991. ",cited by other .
7201580,Marketing Reference Manual. ,cited by other .
7201580,"An Overview of the CCC Instructional System ofn the IBM PS/2, Computer Curriculum Corporation Jan. 1991. ",cited by other .
7201580,"Marketing Reference Manual, System Planning. ",cited by other .
7201580,"Marketing Reference Manual, Questions and Answers. ",cited by other .
7201580,"The Well-Managed Classroom by Bobby Goodson, Teaching and Computers Nov./Dec. 1988. ",cited by other .
7201580,EPIE Report Summary for Computer Curriculum Corporation Apr. 1990. ,cited by other .
7201580,"Introducing the newest member of CCC's winning team, by Computer Curriculum Corporation. ",cited by other .
7201580,"Intelligent Tutoring Systems--The Current State of the Art, by Riichiro Mizoguchi, the Transactions of the IEICE, vol. E 73, No. 3 Mar. 1990. ",cited by other .
7201580,"The Intelligent Design of Computer-assisted instruction, Chapter 9, by Venezky et al., Longman 1991. ",cited by other .
7201580,"Computer Managed Instruction at Arthur Andersen & Company: A Status Report, by Dennis et al. Mar. 1992. ",cited by other .
7201580,"2.0 CMI Overview, CMI Guidelines, by AICC Oct. 25, 1993. ",cited by other .
7201580,"Performance Support Systems: Integrating AI, Hypermedia, and CBT to enhance user performance, by Karen McGraw, JI. Of Artificial Intelligence in Education 5(1), 3-26 1994. ",cited by other .
7201580,"The use of pre-test and post-test in call: A case study, by Blin et al., Computers Educ. vol. 23, No. 1/2, pp. 143-150 1994. ",cited by other .
7201580,"CMI Guidelines for Interoperability by AICC Jan. 26, 1996. ",cited by other .
7201580,CBT Campus Tour Preview by CBT System 1997. ,cited by other .
7201580,"Registar, Silton-Bookman Systems Inc. 1997. ",cited by other .
7201580,"Silton-Bookan Systems, Registrar Sep. 24, 1997. ",cited by other .
7201580,"Training Multimedia, vol. 3, #1, How to Manage Benchmark Multimedia Based Training 1997. ",cited by other .
7201580,"DigitalThink: A classroom on the Web, by Paul Williams, New Media May 5, 1997. ",cited by other .
7201580,"Netting on Education, by Laura Castaneda, San Francisco Chronicle, Business Jul. 24, 1997. ",cited by other .
7201580,"Knowledge Inc., vol. 2, No. 8 Aug. 1997. ",cited by other .
7201580,"Computer Managed Instruction, AICC Guidelines and Recommendations, by AICC Oct. 9, 1997. ",cited by other .
7201580,"Hands On: Java Tutorials, Insider Technology Training, by Ned Snell Nov. 1997. ",cited by other .
7201580,"Implementation Strategies for Web-based training and performance support, by International Quality & Productivity Center Nov. 17-19, 1997. ",cited by other .
7201580,CMI Guidelines for Interoperability by AICC Feb. 1998. ,cited by other .
7201580,"Keeping Track, Inside Technology Training, by Sarah Auerbach Jul./Aug. 1998. ",cited by other .
7201580,"Education Uses of the Plato Computer System, Science, vol. 192, No. 4237 by Smith et al. Apr. 23, 1976. ",cited by other .
7201580,"The Design and Implementation of a Dynamically Tailored Examination, SIGSCE Bulletin, vol. 9, No. 3, pp. 59-62 by Lawrence Whitlock Aug. 1977. ",cited by other .
7201580,"William C. Norris: Portrait of a Maverick, Ballinger Publishing Company by Worthy et al. 1987. ",cited by other .
7201580,"Web-Based Training Cookbook, Wiley Computer Publishing by Brandon Hall 1997. ",cited by other .
7201580,"Plato Rising: Online learning for Atarians, www.atarimagazines.com/v3n3/platorising.html, by Small et al. 2003. ",cited by other .
7201580,"Free-Body Diagrams (a Plato Lesson) by Bruce Arne Sherwood, published in the American Journal of Physics, vol. 39, Nos. 1-12, pp. 1199-1203 Oct. 1971. ",cited by other .
7201580,"The use of computers in the teaching of Chemistry by Smith et al., published in the Journal of Chemical Education, vol. 51, No. 4, pp. 243-244 Apr. 1974. ",cited by other .
7201580,"The Off-Line Plato System by Stanely G. Smith, published in the Journal of Chemical Education, vol. 56, No. 12, pp. 781-782 Dec. 1979. ",cited by other .
7201580,"Network Operating Systems by CBT Systems Ltd., pp. 5 and 10-13 1994. ",cited by other .
7201580,"CBTCampus Administrator's Guide, Version 1.01, by CBT Systems, pp. 6-10, 25, 26, 31-34, 37, 38, 61, 62, 77-84, 87, 88 and 127-166 Mar. 1998. ",cited by other .
7201580,"Reexamination document of US Patent No. 6,398,556 Aug. 2003. ",cited by other .
7201580,"Centra Announces Strategic Alliances to lead industry shift toward comprehensive live web-based training delivery, Centra Software, Feb. 10, 1997, pp. 1-3. ",cited by other .
7201580,"Centra Software ships Symposium 1.0, Centra Software, Jul. 14, 1997, pp. 1-3. ",cited by other .
7201580,"Plaut Consulting Selects Centra's Symposium to deliver live interactive training to SAP R/3 users via the Internet, Centra Software, Aug. 12, 1997, pp. 1-3. ",cited by other .
7201580,"Centra Software announces strategic partnership with Macromedia to support open standards for enterprise learning, Centra Software, Oct. 8, 1997, pp. 1-3. ",cited by other .
7201580,"An online prescription for basic skills, by Lois S. Wilson, Training & Development Journal, Apr. 1990, pp. 36-41. ",cited by other .
7201580,"Calos: An experiment with computer-aided learning for operating systems, Murray W. Goldberg, SiGCSE, Feb. 1996, pp. 175, 177,179. ",cited by other .
7201580,"WebCT and first year: student reaction to and use of a web-based resource in first year computer science, Murray W. Goldberg, ITiCSE, 1997, pp. 127, 129. ",cited by other .
7201580,"An Update on WebCT (World-Wide-Web course tools) a tool for the creation of sophisticated web-based learning environments, Goldberg et al., Proceedings of NAUWeb '97 -Current Practices in Web-Base Course Development, Jun. 12-15, 1997, pp. 1-8. ",cited by other .
7201580,"Welcome! Getting started with WebCT, last modified Sep. 16, 1997, http://www.eduworks.com/victor/New%20Prior%20Art/WebCT/Getting%20Started%- 2Ow . . . , downloaded Feb. 17, 2005, pp. 1-10. ",cited by other .
7201580,"Online educational delivery applications/Tools for WebCT, last updated Aug. 26, 1997, http://www.eduworks.com/victor/New%20Prior%20Art/WebCT/On-Line%20Educatio- nal . . . , downloaded Feb. 17, 2005, pp. 1-4. ",cited by other .
7201580,"General Overview, last modified Jul. 13, 1997, http://www.eduworks.com/victor/New%20Prior%20Art/QuestWriter/GenOver.h . . . , downloaded Feb. 15, 2005, pp. 1-3. ",cited by other .
7201580,"QuestWriter Features, last modified Aug. 12, 1997, http://www.eduworks.com/victor/New%20Prior%20Art/QuestWriter/QWfeatures.h- tm, downloaded Feb. 17, 2005, pp. 1-12. ",cited by other .
7201580,"Professor's Overview, last modified Jul. 13, 1997, http://www.eduworks.com/victor/New%20Prior%20Art/QuestWriter/ProOver.htm, downloaded Feb. 17, 2005, pp. 1-4. ",cited by other .
7201580,"Student's Overview, last modified Jul. 13, 1997, http://www.eduworks.com/victor/New%20Prior%20Art/QuestWriter/StuOver.htm, downloaded Feb. 17, 2005, pp. 1-4. ",cited by other .
7201580,"Programmer's Overview, last modified Jul. 13, 1997, http://www.eudworks.com/victor/New%20Prior%20Art/QuestWriter/ProgOver. . . , downloaded Feb. 15, 2005, p. 1. ",cited by other .
7201580,"List of QuestWriter Files, last modified Jul. 14, 1997, http://www.eduworks.com/victor/New%20Art/QuestWriter/file_list.htm, downloaded Feb. 15, 2005, pp. 1-4. ",cited by other .
7201580,"Quiz Application, last modified Jul. 13, 1997, http://www.eduworks.com/victor/New%20Prior%20Art/QuestWriter/quizapp.htm, downloaded Feb. 17, 2005, pp. 1-3. ",cited by other .
7201580,"Class Gradebook, last modified Jul. 14, 1997, http://www.eduworks.com/victor/New%20Prior%20Art/QuestWriter/cgrade.htm, downloaded Feb. 15, 2005, pp. 1-7. ",cited by other .
7201580,"Conditional Links, last modified Jul. 14, 1997, http://www.eduworks.com/victor/New%20Prior%20Art/QuestWriter/clink.htm, downloaded Feb. 15, 2005, pp. 1-4. ",cited by other .
7201580,"The Regristration Page, last modified Jul. 14, 1997, http://www.eduworks.com/victor/New%20Prior%20Art/QuestWriter/registration- .htm, downloaded Feb. 17, 2005, pp. 1-4. ",cited by other .
7201580,"Class Library, last modified Jul. 13, 1997, http://www.eduworks.com/victor/New%20Prior%20Art/QuestWriter/classlib.htm- , downloaded Feb. 17, 2005, pp. 1-2. ",cited by other .
7201580,"QuestWriter System Page, http://www.eduworks.com/victor/New%20Prior%20Art/QuestWriter/QuestWriter%- 20Syste . . . , downloaded Feb. 17, 2005, p. 1. ",cited by other .
7201580,"Mailing list Documentation, http://www.eduworks.com/victor/New%20Prior%20Art/QuestWriter/Mailing%2 . . . , downloaded Feb. 15, 2005, p. 1. ",cited by other .
